player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,Offside,Shield,Bad Behaviour,50/50
5655,Dylan Daniel Mahmoud Bronn,Tunisia,39,7,4,42,2,0,0,1,2,0.0,1,1,0,1,1,0.0,53,0.0,0.0,17,1,0.0,0.0,0.0,0.0
5656,Syam Ben Youssef,Tunisia,28,2,3,27,6,0,2,4,8,0.0,5,1,0,2,0,0.0,42,0.0,0.0,21,0,0.0,0.0,0.0,0.0
5657,Mohamed Amine Ben Amor,Tunisia,6,0,1,6,0,0,0,2,4,0.0,0,0,0,0,1,0.0,5,0.0,0.0,11,0,0.0,0.0,0.0,0.0
5658,Łukasz Piszczek,Poland,80,6,2,67,7,1,1,7,2,0.0,0,4,0,4,6,0.0,110,0.0,0.0,33,1,0.0,0.0,0.0,1.0
5659,Khadim N'Diaye,Senegal,32,7,0,34,0,0,0,0,0,0.0,0,1,27,0,0,0.0,71,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5660,Piotr Zieliński,Poland,160,12,0,131,1,0,10,3,4,0.0,2,3,0,0,4,0.0,162,0.0,0.0,58,4,0.0,0.0,0.0,0.0
5661,M'Baye Babacar Niang,Senegal,118,12,2,79,1,0,5,2,12,0.0,4,5,0,5,13,0.0,86,0.0,0.0,65,8,0.0,0.0,1.0,0.0
5662,Thiago Rangel Cionek,Poland,63,5,1,63,1,0,0,0,3,0.0,1,2,0,2,1,1.0,81,0.0,0.0,13,0,0.0,0.0,0.0,0.0
5663,Jakub Błaszczykowski,Poland,21,0,1,10,0,0,2,1,0,0.0,0,0,0,0,1,0.0,10,0.0,0.0,11,0,0.0,0.0,0.0,0.0
5664,Salif Sané,Senegal,81,13,4,79,15,0,0,1,7,1.0,1,0,0,7,1,0.0,125,0.0,0.0,16,4,0.0,0.0,0.0,0.0
5665,Arkadiusz Milik,Poland,30,2,0,16,0,0,0,1,1,0.0,0,0,0,1,0,0.0,23,0.0,0.0,18,1,0.0,0.0,0.0,0.0
5666,Dawid Kownacki,Poland,39,6,0,19,1,1,2,2,2,0.0,2,0,0,0,4,0.0,26,0.0,0.0,20,2,0.0,0.0,0.0,0.0
5667,Kamil Grosicki,Poland,87,3,4,58,0,4,3,1,2,0.0,1,2,0,2,2,0.0,71,0.0,0.0,38,5,0.0,0.0,0.0,0.0
5668,Robert Lewandowski,Poland,152,11,1,79,2,4,10,5,7,0.0,4,5,0,0,14,0.0,73,0.0,0.0,37,9,0.0,0.0,0.0,0.0
5669,Wojciech Szczęsny,Poland,31,6,0,28,0,0,0,1,0,0.0,0,0,25,0,0,0.0,42,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5670,Michał Pazdan,Poland,130,2,3,113,5,0,0,1,8,0.0,1,0,0,3,1,0.0,159,1.0,1.0,15,0,0.0,0.0,0.0,1.0
5671,Alfred John Momar N'Diaye,Senegal,44,5,1,37,1,1,1,3,2,0.0,1,0,0,2,0,0.0,47,0.0,0.0,36,1,0.0,0.0,0.0,0.0
5672,Maciej Rybus,Poland,58,7,3,54,9,3,2,3,3,0.0,2,1,0,6,4,0.0,71,0.0,0.0,28,0,1.0,0.0,0.0,0.0
5673,Bartosz Bereszyński,Poland,67,8,6,55,3,3,3,2,3,0.0,4,2,0,3,1,0.0,78,0.0,0.0,35,1,0.0,0.0,0.0,0.0
5674,Moussa Wagué,Senegal,60,7,2,61,3,1,4,1,1,0.0,1,1,0,4,1,0.0,90,0.0,0.0,28,1,0.0,0.0,0.0,1.0
5675,Kalidou Koulibaly,Senegal,79,10,5,80,8,0,0,3,5,0.0,5,0,0,5,0,0.0,113,0.0,0.0,32,0,0.0,0.0,0.0,0.0
5676,Cheikh N'Doye,Senegal,21,3,1,7,0,0,1,2,2,0.0,3,1,0,1,0,0.0,16,0.0,0.0,18,1,0.0,0.0,0.0,0.0
5677,Fedor Kudryashov,Russia,65,8,6,43,6,0,0,3,1,0.0,7,2,0,1,0,0.0,109,0.0,0.0,58,0,0.0,0.0,0.0,0.0
5678,Jefferson Andrés Lerma Solís,Colombia,89,7,4,77,3,0,1,1,5,1.0,5,3,0,3,2,0.0,90,0.0,0.0,47,2,0.0,0.0,0.0,0.0
5679,Yūya Ōsako,Japan,138,7,4,80,0,9,4,2,13,0.0,4,8,0,1,6,0.0,78,0.0,0.0,62,7,0.0,0.0,0.0,1.0
5680,Oscar Fabián Murillo Murillo,Colombia,27,0,1,26,4,0,0,0,1,0.0,0,1,0,4,0,0.0,45,0.0,0.0,9,2,0.0,0.0,0.0,0.0
5681,Makoto Hasebe,Japan,170,13,7,163,4,3,1,7,7,0.0,5,4,0,3,1,0.0,210,1.0,1.0,67,1,0.0,1.0,0.0,0.0
5682,Gen Shōji,Japan,146,12,2,147,15,1,2,2,11,0.0,0,1,0,2,0,0.0,179,0.0,0.0,20,1,0.0,0.0,0.0,0.0
5683,Keisuke Honda,Japan,46,1,0,34,0,2,2,2,4,0.0,0,2,0,0,0,0.0,41,0.0,0.0,9,4,0.0,0.0,0.0,0.0
5684,Shinji Kagawa,Japan,131,13,1,113,0,1,7,3,1,0.0,2,4,0,3,5,0.0,142,0.0,0.0,53,3,0.0,0.0,0.0,0.0
5685,Carlos Alberto Sánchez Moreno,Colombia,57,6,1,52,1,1,0,0,5,0.0,7,1,0,0,0,0.0,76,0.0,0.0,25,0,0.0,0.0,0.0,0.0
5686,Wílmar Enrique Barrios Terán,Colombia,103,14,6,106,7,4,3,2,14,0.0,8,3,0,3,2,0.0,126,0.0,0.0,93,0,0.0,0.0,1.0,2.0
5687,Takashi Inui,Japan,177,11,8,130,1,8,5,5,9,0.0,4,10,0,5,7,0.0,127,0.0,0.0,57,9,0.0,0.0,0.0,0.0
5688,Carlos Arturo Bacca Ahumada,Colombia,47,2,3,21,0,0,1,0,5,0.0,2,1,0,0,3,0.0,29,0.0,0.0,13,3,0.0,0.0,0.0,0.0
5689,Juan Guillermo Cuadrado Bello,Colombia,215,24,4,191,5,8,19,2,4,0.0,3,15,0,1,8,0.0,173,0.0,0.0,47,7,0.0,0.0,0.0,0.0
5690,Yuto Nagatomo,Japan,146,13,6,135,8,0,3,2,7,0.0,2,3,0,4,1,0.0,191,0.0,0.0,58,2,0.0,0.0,0.0,0.0
5691,Johan Andrés Mojica Palacio,Colombia,157,31,8,174,4,3,18,8,9,0.0,3,2,0,4,8,0.0,218,0.0,0.0,71,1,0.0,0.0,0.0,2.0
5692,Juan Fernando Quintero Paniagua,Colombia,172,17,1,152,1,1,4,5,2,0.0,2,3,0,0,7,0.0,187,0.0,0.0,44,8,0.0,0.0,0.0,2.0
5693,Gaku Shibasaki,Japan,204,13,4,180,6,1,3,4,8,0.0,7,2,0,7,3,0.0,245,0.0,0.0,68,1,0.0,0.0,0.0,2.0
