player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,match_id,Bad Behaviour,Own Goal Against,50/50,Own Goal For
8554,Levin Mete Öztunali,Werder Bremen,34,6,4,29,0,3,4,1,0,,2,1,0,2,6,,20,,,10,0.0,1,3890443,,,0.0,
8762,Zlatko Junuzović,Werder Bremen,13,1,1,10,0,0,0,0,2,,0,2,0,0,2,,14,,,5,0.0,0,3890443,,,0.0,
8815,Jannik Vestergaard,Werder Bremen,37,4,1,25,3,0,0,1,5,,1,1,0,0,0,,52,,,17,1.0,0,3890443,,,0.0,
9396,Ermin Bičakčić,Hoffenheim,43,3,3,41,9,0,1,0,6,,1,1,0,4,0,,66,,,12,0.0,1,3890443,,,0.0,
9720,Philipp Ochs,Hoffenheim,31,2,5,19,3,0,1,3,5,,3,0,0,1,1,,36,,,27,0.0,0,3890443,,,1.0,
11132,Claudio Miguel Pizarro Bossio,Werder Bremen,51,7,2,32,0,2,3,2,5,,2,0,0,0,3,,32,,,24,0.0,3,3890443,,,2.0,
11396,Florian Grillitsch,Werder Bremen,47,7,4,45,1,1,4,3,1,,1,1,0,6,0,,55,,,32,0.0,0,3890443,,,0.0,
12321,Tobias Strobl,Hoffenheim,48,9,4,47,6,0,4,1,3,,2,4,0,2,1,,54,,,24,0.0,1,3890443,,,0.0,
12624,Anthony Ujah,Werder Bremen,53,3,3,14,1,0,1,0,8,,2,1,0,0,0,,17,,,13,0.0,2,3890443,,,0.0,
20010,Clemens Fritz,Werder Bremen,38,10,4,43,1,0,2,1,4,,1,8,0,2,0,,48,,,16,0.0,1,3890443,,,1.0,
23269,Felix Wiedwald,Werder Bremen,11,2,0,13,0,0,0,0,0,,0,0,14,0,0,,27,,,0,0.0,0,3890443,,,0.0,
26359,Santiago García,Werder Bremen,33,3,6,28,0,1,1,3,6,,2,2,0,0,1,,52,,,14,0.0,1,3890443,,,0.0,
27317,Eduardo Jesús Vargas Rojas,Hoffenheim,65,2,0,20,0,2,0,0,10,,4,1,0,0,7,,23,,,16,0.0,1,3890443,,,1.0,
30847,Jiloan Hamad,Hoffenheim,10,2,1,10,0,1,0,0,1,,0,0,0,1,0,,10,,,8,0.0,0,3890443,,,2.0,
3630,Loris Karius,FSV Mainz 05,21,10,0,28,0,0,0,0,0,,0,1,14,0,0,0.0,46,,,1,0.0,0,3890452,0.0,,0.0,
5467,Leon Aderemi Balogun,FSV Mainz 05,60,8,2,56,6,1,1,2,1,,3,1,0,3,1,0.0,71,,,12,0.0,1,3890452,0.0,,0.0,
5537,Fabian Lukas Schär,Hoffenheim,36,2,0,37,9,0,0,2,3,,2,1,0,3,0,0.0,42,,,6,0.0,1,3890452,0.0,,0.0,
6039,Sebastian Rudy,Hoffenheim,62,1,1,41,2,1,3,0,4,,1,1,0,0,3,0.0,44,,,15,0.0,0,3890452,0.0,,0.0,
6322,Niklas Süle,Hoffenheim,42,1,5,41,4,0,0,0,2,,0,3,0,1,0,0.0,58,,,4,1.0,2,3890452,0.0,,0.0,
6925,Jairo Samperio Bustara,FSV Mainz 05,43,3,2,36,0,5,7,1,4,,2,1,0,0,3,0.0,20,,,18,0.0,2,3890452,1.0,,1.0,
8215,Kevin Volland,Hoffenheim,53,5,2,43,1,2,6,0,2,,0,3,0,2,2,0.0,40,,,10,0.0,2,3890452,0.0,,0.0,
