player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,match_id,Player Off,Player On,Bad Behaviour
3616,Callum Wilson,England,,12,1,0,2,0,0,0,0,0,,0,0,0,0,1,,,5,3,0.0,0,3857271,0.0,0.0,
3943,Declan Rice,England,,86,4,1,70,0,1,1,0,4,,0,0,0,2,2,,,97,9,0.0,0,3857271,0.0,0.0,
4354,Phil Foden,England,,23,0,1,17,0,0,0,0,1,,1,0,0,0,1,,,21,7,0.0,0,3857271,0.0,0.0,
5220,Morteza Pouraliganji,Iran,,18,2,0,15,4,0,0,0,1,,4,1,0,4,0,,,28,13,0.0,0,3857271,0.0,0.0,
5222,Roozbeh Cheshmi,Iran,,4,2,1,5,2,0,0,0,3,,2,0,0,1,0,,,9,3,0.0,0,3857271,0.0,0.0,
5224,Sardar Azmoun,Iran,,10,0,0,4,0,0,0,0,1,,0,0,0,0,0,,,4,0,0.0,1,3857271,0.0,0.0,
5226,Mehdi Taremi,Iran,,40,5,3,20,1,3,2,1,2,,2,1,0,2,1,,,21,22,0.0,3,3857271,0.0,0.0,
5227,Alireza Safar Beiranvand,Iran,,1,0,0,1,0,0,0,0,0,,0,0,2,0,0,,,3,0,0.0,0,3857271,0.0,0.0,
5228,Seyed Majid Hosseini,Iran,,11,3,2,14,2,1,0,2,5,,1,1,0,0,0,,,19,10,1.0,0,3857271,0.0,0.0,
5230,Ehsan Hajsafi,Iran,,22,3,1,21,2,0,1,1,2,,1,2,0,1,0,,,28,8,0.0,0,3857271,0.0,0.0,
5239,Alireza Jahanbakhsh,Iran,,15,3,2,7,0,0,1,0,2,,2,0,0,1,0,,,8,12,0.0,1,3857271,0.0,0.0,
5720,Milad Mohammadi,Iran,,12,1,3,10,1,0,2,0,3,,1,0,0,1,1,,,12,12,1.0,0,3857271,0.0,0.0,
5722,Saeid Ezatolahi Afagh,Iran,,9,1,0,9,2,0,0,1,0,,0,1,0,0,0,,,9,8,0.0,1,3857271,0.0,0.0,
7843,Mason Mount,England,,44,5,1,34,0,1,1,0,4,,2,5,0,1,1,,,37,11,1.0,1,3857271,0.0,0.0,
9638,Jack Grealish,England,,22,0,3,17,0,0,0,1,1,,0,3,0,0,0,,,19,7,0.0,1,3857271,0.0,0.0,
10955,Harry Kane,England,,28,2,0,16,0,0,1,0,2,,0,1,0,0,1,,,16,3,0.0,0,3857271,1.0,1.0,
10956,Eric Dier,England,,25,3,0,23,1,0,0,0,0,,0,0,0,0,0,,,29,1,0.0,0,3857271,0.0,0.0,
22084,Bukayo Saka,England,,41,1,2,30,0,2,2,0,4,,2,3,0,1,1,,,29,14,0.0,3,3857271,0.0,0.0,
