player_id,player_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,Bad Behaviour,Own Goal Against,50/50,Own Goal For,team_name
3004,Oswaldo Augusto Vizcarrondo Araújo,58,7,2,51,17,0,0,0,2,0.0,2,1,0,3,1,0.0,81,0.0,0.0,7,0.0,1,0.0,0.0,0.0,0.0,Nantes
3007,Nanitamo Jonathan Ikoné,35,4,1,34,0,0,6,2,0,0.0,0,0,0,2,1,0.0,31,0.0,0.0,16,0.0,2,0.0,0.0,0.0,0.0,Lille
3008,Benjamin Lecomte,34,12,0,39,0,0,0,0,0,0.0,0,1,64,0,0,0.0,105,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Lorient | Montpellier
3009,Kylian Mbappé Lottin,2763,125,37,1968,5,94,243,13,25,0.0,31,63,0,12,90,0.0,1786,9.0,9.0,373,0.0,200,3.0,0.0,11.0,0.0,AS Monaco | France | Paris Saint-Germain
3010,Corentin Jean,111,5,2,52,0,5,4,0,9,0.0,4,7,0,0,5,0.0,55,1.0,1.0,34,0.0,1,0.0,0.0,0.0,0.0,Troyes
3011,Daniel Congré,12,1,1,10,7,0,0,0,3,0.0,1,0,0,3,0,0.0,23,0.0,0.0,6,1.0,0,0.0,0.0,0.0,0.0,Montpellier
3013,Nicolas Pépé,115,8,1,97,0,6,3,1,5,0.0,0,3,0,2,4,0.0,103,0.0,0.0,33,0.0,6,0.0,0.0,2.0,0.0,Côte d'Ivoire | OGC Nice
3016,Allan Saint-Maximin,56,3,2,37,0,1,7,0,4,0.0,0,4,0,0,4,0.0,31,0.0,0.0,14,0.0,2,0.0,0.0,0.0,0.0,Hannover 96
3017,Ibrahim Sangaré,38,3,1,37,0,1,0,1,2,0.0,1,3,0,0,0,0.0,40,1.0,1.0,20,0.0,0,0.0,0.0,0.0,0.0,Côte d'Ivoire
3018,Giovanni-Guy Yann Sio,62,2,1,31,0,1,4,0,2,0.0,2,5,0,0,1,0.0,32,0.0,0.0,12,0.0,4,0.0,0.0,0.0,0.0,Rennes
3019,Salomon Junior Sambia,11,0,0,10,0,0,0,0,1,0.0,0,1,0,0,0,0.0,10,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,Montpellier
3020,Rodrigue Casimir Ninga,17,4,2,18,0,2,3,0,1,0.0,1,1,0,0,3,0.0,10,0.0,0.0,6,0.0,0,0.0,0.0,0.0,0.0,Montpellier
3023,Yuri Berchiche Izeta,953,130,58,916,60,28,36,26,84,0.0,36,32,0,58,31,0.0,1369,1.0,1.0,336,6.0,22,3.0,0.0,2.0,0.0,Athletic Club | Real Sociedad
3024,Jacques François Moubandje,446,78,34,453,54,25,49,10,63,1.0,12,21,0,21,12,0.0,775,0.0,0.0,185,6.0,4,1.0,0.0,2.0,0.0,Toulouse
3026,Adrien Rabiot,392,31,13,334,4,13,6,5,13,0.0,13,15,0,7,7,0.0,402,1.0,1.0,90,2.0,6,0.0,0.0,3.0,0.0,France
3030,Wergiton do Rosário Calmon,558,117,55,506,45,37,27,18,120,0.0,22,33,0,33,27,1.0,695,0.0,0.0,383,2.0,6,0.0,0.0,5.0,0.0,Toulouse
3031,Christopher Jullien,17,3,3,15,4,0,0,1,0,0.0,1,0,0,0,1,0.0,22,0.0,0.0,6,0.0,0,0.0,0.0,0.0,0.0,Montpellier
3032,Zinédine Machach,396,46,13,333,3,29,43,18,37,0.0,28,8,0,6,31,0.0,298,1.0,1.0,212,0.0,5,0.0,0.0,7.0,0.0,Toulouse
3034,Kamil Glik,32,1,2,25,7,0,0,1,4,0.0,0,0,0,2,0,0.0,34,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,Poland
3035,Steeve Yago,135,43,33,149,24,7,4,3,36,1.0,17,7,0,20,8,0.0,321,1.0,1.0,151,4.0,0,0.0,0.0,3.0,0.0,Toulouse
3036,Alexis Blin,501,112,40,480,39,8,11,23,82,0.0,19,37,0,14,12,0.0,691,1.0,1.0,382,0.0,12,0.0,0.0,11.0,0.0,Toulouse
3038,Andy Delort,121,6,1,60,0,3,1,2,21,0.0,3,2,0,1,8,0.0,75,0.0,0.0,37,0.0,5,0.0,0.0,1.0,0.0,Caen | OGC Nice
3042,Mikel Merino Zazón,337,36,14,293,6,12,9,20,35,0.0,10,13,0,5,7,0.0,321,1.0,1.0,175,0.0,7,0.0,0.0,2.0,0.0,Real Sociedad | Spain
3043,Christian Dannemann Eriksen,58,2,2,36,0,1,0,0,0,0.0,0,0,0,1,2,0.0,57,0.0,0.0,9,0.0,2,0.0,0.0,0.0,0.0,Denmark
3044,Chancel Mbemba Mangulu,46,6,6,47,1,0,1,0,4,0.0,1,0,0,1,1,0.0,58,0.0,0.0,6,0.0,3,0.0,0.0,0.0,0.0,Marseille
3045,Ismaël Traoré,16,9,1,20,7,0,1,0,2,0.0,0,0,0,0,0,0.0,30,0.0,0.0,9,0.0,0,0.0,0.0,1.0,0.0,Angers
3047,Benoît Assou-Ekotto,31,9,2,32,0,2,0,1,0,0.0,1,0,0,2,2,0.0,51,0.0,0.0,9,0.0,2,0.0,0.0,0.0,0.0,Saint-Étienne
3053,Leroy Sané,1362,183,44,1067,6,91,180,36,111,0.0,44,50,0,16,121,1.0,774,0.0,0.0,612,2.0,75,0.0,0.0,5.0,0.0,Bayern Munich | Germany | Schalke 04
3054,Fernando Luiz Roza,7,2,1,8,0,0,1,1,0,0.0,2,1,0,0,0,0.0,13,0.0,0.0,9,0.0,2,0.0,0.0,0.0,0.0,Brazil
3058,Javier Hernández Balcázar,145,9,3,70,2,5,4,0,9,0.0,2,8,0,1,5,2.0,67,0.0,0.0,38,0.0,9,0.0,0.0,2.0,0.0,Bayer Leverkusen | Sevilla
3063,Danilo Luiz da Silva,169,19,5,168,7,0,2,4,15,0.0,1,3,0,3,3,0.0,235,0.0,0.0,49,1.0,2,0.0,0.0,0.0,0.0,Brazil | Real Madrid
