country,roster_name,position,shirt_number
Cabo Verde (CPV),SIDNY LOPES,Defender,13
Cabo Verde (CPV),YANNICK SEMEDO,Midfielder,16
Cabo Verde (CPV),TELMO ARCANJO,Midfielder,18
Cabo Verde (CPV),DAILON LIVRAMENTO,Forward,19
Cabo Verde (CPV),NUNO DA,Midfielder,21
Cabo Verde (CPV),CJ DOS,Goalkeeper,23
Cabo Verde (CPV),WAGNER PINA,Defender,24
Cabo Verde (CPV),KELVIN PIRES,Defender,25
Cabo Verde (CPV),HELIO VARELA,Midfielder,26
Canada (CAN),JONES Al,Defender,3
Canada (CAN),WATERMAN Joel,Defender,5
Canada (CAN),OLUWASEYI Tani,Forward,12
Canada (CAN),GOODMAN Owen,Goalkeeper,18
Canada (CAN),SIGUR Niko,Defender,23
Canada (CAN),DAVID Promise,Forward,24
Canada (CAN),SALIBA Nathan,Midfielder,25
Canada (CAN),NELSON Jayden,Forward,26
Colombia (COL),PUERTA Gustavo,Defender,14
Colombia (COL),PORTILLA Juan,Midfielder,15
Colombia (COL),DITTA Willer,Defender,18
Colombia (COL),HERNANDEZ Cucho,Forward,19
Colombia (COL),CAMPAZ Jaminton,Forward,21
Colombia (COL),MONTERO Alvaro,Goalkeeper,24
Colombia (COL),SUAREZ Luis,Forward,25
Colombia (COL),GOMEZ Andres,Forward,26
Congo DR (COD),WAN-BISSAKA Aaron,Defender,2
Congo DR (COD),KAPUADI Steve,Defender,3
Congo DR (COD),TUANZEBE Axel,Defender,4
Congo DR (COD),MUKAU Ngalayel,Midfielder,6
Congo DR (COD),MBUKU Nathanael,Midfielder,7
Congo DR (COD),CIPENGA Brian,Forward,9
Congo DR (COD),ELIA Meschack,Forward,13
Congo DR (COD),SADIKI Noah,Midfielder,14
Congo DR (COD),FAYULU Timothy,Goalkeeper,16
Congo DR (COD),EPOLO Matthieu,Goalkeeper,21
Congo DR (COD),KAYEMBE Edo,Midfielder,25
Croatia (CRO),MORO Nikola,Midfielder,7
Croatia (CRO),PANDUR Ivor,Goalkeeper,12
Croatia (CRO),SUCIC Petar,Midfielder,17
Croatia (CRO),JAKIC Kristijan,Defender,18
Croatia (CRO),FRUK Toni,Midfielder,19
Croatia (CRO),MATANOVIC Igor,Forward,20
Croatia (CRO),VUSKOVIC Luka,Defender,22
Croatia (CRO),KOTARSKI Dominik,Goalkeeper,23
Croatia (CRO),PASALIC Marco,Forward,24
Croatia (CRO),ERLIC Martin,Defender,25
Croatia (CRO),MUSA Petar,Forward,26
Curaçao (CUW),ROOM Eloy,Goalkeeper,1
Curaçao (CUW),SAMBO Shurandy,Defender,2
Curaçao (CUW),GAARI Jurien,Defender,3
Curaçao (CUW),VAN EIJMA,Defender,4
Curaçao (CUW),FLORANUS Sherel,Defender,5
Curaçao (CUW),ROEMERATOE Godfried,Midfielder,6
Curaçao (CUW),BACUNA Juninho,Midfielder,7
Curaçao (CUW),COMENENCIA Livano,Midfielder,8
Curaçao (CUW),LOCADIA Juergen,Forward,9
Curaçao (CUW),BACUNA Leandro,Midfielder,10
Curaçao (CUW),ANTONISSE Jeremy,Forward,11
Curaçao (CUW),HANSEN Sontje,Forward,12
Curaçao (CUW),NOSLIN Tyrese,Forward,13
Curaçao (CUW),GORRE Kenji,Forward,14
Curaçao (CUW),MARTHA Arjany,Midfielder,15
Curaçao (CUW),MARGARITHA Jearl,Forward,16
Curaçao (CUW),KUWAS Brandley,Forward,17
Curaçao (CUW),OBISPO Armando,Defender,18
Curaçao (CUW),KASTANEER Gervane,Forward,19
Curaçao (CUW),BRENET Joshua,Defender,20
