country,roster_name,position,shirt_number
Norway (NOR),BOBB Oscar,Midfielder,22
Norway (NOR),HAUGE Jens,Midfielder,23
Norway (NOR),LANGAS Sondre,Defender,24
Norway (NOR),FALCHENER Henrik,Defender,25
Norway (NOR),RYERSON Julian,Forward,26
Panama (PAN),MEJIA Luis,Goalkeeper,1
Panama (PAN),RODRIGUEZ Tomas,Forward,9
Panama (PAN),SAMUDIO Cesar,Goalkeeper,12
Panama (PAN),RAMOS Jiovany,Defender,13
Panama (PAN),DAVIS Eric,Defender,15
Panama (PAN),ANDRADE Andres,Defender,16
Panama (PAN),WATERMAN Cecilio,Forward,18
Panama (PAN),QUINTERO Alberto,Midfielder,19
Panama (PAN),LONDONO Azarias,Forward,24
Panama (PAN),GUTIERREZ Jorge,Defender,26
Paraguay (PAR),FERNANDEZ Gatito,Goalkeeper,1
Paraguay (PAR),CACERES Juan,Defender,4
Paraguay (PAR),ALONSO Junior,Defender,6
Paraguay (PAR),GOMEZ Diego,Midfielder,8
Paraguay (PAR),SANABRIA Antonio,Forward,9
Paraguay (PAR),MAURICIO Mauricio,Midfielder,11
Paraguay (PAR),GILL Orlando,Goalkeeper,12
Paraguay (PAR),CANALE Jose,Defender,13
Paraguay (PAR),GOMEZ Gustavo,Defender,15
Paraguay (PAR),OJEDA Braian,Midfielder,20
Paraguay (PAR),AVALOS Gabriel,Forward,21
Paraguay (PAR),OLVEIRA Gaston,Goalkeeper,22
Paraguay (PAR),GALARZA Matias,Midfielder,23
Paraguay (PAR),CABALLERO Gustavo,Midfielder,24
Paraguay (PAR),PITTA Isidro,Forward,25
Paraguay (PAR),MAIDANA Alexandro,Defender,26
Portugal (POR),TOMAS ARAUJO,Defender,4
Portugal (POR),JOSE SA,Goalkeeper,12
Portugal (POR),RENATO VEIGA,Defender,13
Portugal (POR),FRANCISCO TRINCAO,Forward,16
Portugal (POR),RUI SILVA,Goalkeeper,22
Portugal (POR),VITINHA Vitor,Midfielder,23
Portugal (POR),SAMU COSTA,Defender,24
Qatar (QAT),MAHMOUD ABUNADA,Goalkeeper,1
Qatar (QAT),LUCAS MENDES,Defender,3
Qatar (QAT),ISSA LAYE,Defender,4
Qatar (QAT),JASSEM GABER,Defender,5
Qatar (QAT),AHMED ALAAELDIN,Forward,7
Qatar (QAT),EDMILSON JUNIOR,Forward,8
Qatar (QAT),HASSAN ALHAYDOS,Forward,10
Qatar (QAT),AYOUB ALOUI,Defender,13
Qatar (QAT),YUSUF ABDURISAG,Forward,15
Qatar (QAT),AHMED ALGANEHI,Midfielder,17
Qatar (QAT),SULTAN ALBRAKE,Defender,18
Qatar (QAT),AHMED FATHY,Midfielder,20
Qatar (QAT),SALAH ZAKARIA,Goalkeeper,21
Qatar (QAT),TAHSIN MOHAMMED,Forward,24
Qatar (QAT),ALHASHMI ALHUSSEIN,Defender,25
Qatar (QAT),MOHAMED MANAI,Forward,26
Saudi Arabia (KSA),NAWAF ALAQIDI,Goalkeeper,1
Saudi Arabia (KSA),ALI MAJRASHI,Defender,2
Saudi Arabia (KSA),ALI LAJAMI,Defender,3
Saudi Arabia (KSA),ABDULELAH ALAMRI,Defender,4
Saudi Arabia (KSA),HASSAN ALTAMBAKTI,Defender,5
Saudi Arabia (KSA),NASSER ALDAWSARI,Midfielder,6
Saudi Arabia (KSA),MUSAB ALJUWAYR,Midfielder,7
Saudi Arabia (KSA),AIMAN YAHYA,Forward,8
Saudi Arabia (KSA),FERAS ALBRIKAN,Forward,9
Saudi Arabia (KSA),SALEM ALDAWSARI,Forward,10
Saudi Arabia (KSA),SALEH ALSHEHRI,Forward,11
Saudi Arabia (KSA),SAUD ABDULHAMID,Defender,12
Saudi Arabia (KSA),NAWAF BU,Defender,13
Saudi Arabia (KSA),HASSAN KADISH,Defender,14
Saudi Arabia (KSA),ABDULLAH ALKHAIBARI,Midfielder,15
Saudi Arabia (KSA),ZIYAD ALJOHANI,Midfielder,16
Saudi Arabia (KSA),KHALID ALGHANNAM,Forward,17
Saudi Arabia (KSA),ALA ALHAJJI,Midfielder,18
Saudi Arabia (KSA),ABDULLAH ALHAMDDAN,Forward,19
Saudi Arabia (KSA),SULTAN MANDASH,Forward,20
Saudi Arabia (KSA),MOHAMMED ALOWAIS,Goalkeeper,21
Saudi Arabia (KSA),AHMED ALKASSAR,Goalkeeper,22
Saudi Arabia (KSA),MOHAMED KANNO,Midfielder,23
Saudi Arabia (KSA),MOTEB ALHARBI,Defender,24
Saudi Arabia (KSA),JEHAD THIKRI,Defender,25
Saudi Arabia (KSA),MOHAMMED ABU,Defender,26
Scotland (SCO),HICKEY Aaron,Defender,2
Scotland (SCO),ROBERTSON Andy,Defender,3
Scotland (SCO),FLETCHER Tyler,Midfielder,8
Scotland (SCO),KELLY Liam,Goalkeeper,12
Scotland (SCO),STEWART Ross,Forward,14
Scotland (SCO),SOUTTAR John,Defender,15
Scotland (SCO),HYAM Dominic,Defender,16
Scotland (SCO),GANNON-DOAK Ben,Forward,17
Scotland (SCO),HIRST George,Forward,18
Scotland (SCO),FERGUSON Lewis,Midfielder,19
Scotland (SCO),GORDON Craig,Goalkeeper,21
Scotland (SCO),McLEAN Kenny,Midfielder,23
Scotland (SCO),CURTIS Findlay,Forward,25
Senegal (SEN),DIOUF Yehvann,Goalkeeper,1
Senegal (SEN),SARR Mamadou,Defender,2
Senegal (SEN),GUEYE Idrissa,Midfielder,5
Senegal (SEN),DIAO Assane,Forward,7
Senegal (SEN),NDIAYE Cherif,Forward,12
Senegal (SEN),MBAYE Ibrahim,Forward,20
Senegal (SEN),DIARRA Habib,Midfielder,21
Senegal (SEN),NDIAYE Bara,Midfielder,22
Senegal (SEN),DIAW Mory,Goalkeeper,23
Senegal (SEN),MENDY Antoine,Defender,24
Senegal (SEN),DIOUF El,Defender,25
South Africa (RSA),MATULUDI Thabang,Defender,2
South Africa (RSA),NDAMANE Khulumani,Defender,3
South Africa (RSA),MBATHA Thalente,Midfielder,5
South Africa (RSA),MOREMI Tshepang,Forward,8
South Africa (RSA),FOSTER Lyle,Forward,9
South Africa (RSA),MOFOKENG Relebohile,Forward,10
South Africa (RSA),MBOKAZI Mbekezeli,Defender,14
South Africa (RSA),RAYNERS Iqraam,Forward,15
South Africa (RSA),CHAINE Sipho,Goalkeeper,16
South Africa (RSA),KABINI Samukele,Defender,18
South Africa (RSA),OKON Ime,Defender,21
South Africa (RSA),GOSS Ricardo,Goalkeeper,22
South Africa (RSA),MAKHANYA Olwethu,Defender,24
South Africa (RSA),SEBELEBELE Kamogelo,Forward,25
South Africa (RSA),CROSS Bradley,Defender,26
Spain (ESP),PUBILL Marc,Defender,2
Spain (ESP),GRIMALDO Alex,Defender,3
Spain (ESP),GAVI Pablo,Midfielder,9
Spain (ESP),OLMO Dani,Forward,10
Spain (ESP),PINO Yeremy,Forward,11
Spain (ESP),PORRO Pedro,Defender,12
Spain (ESP),GARCIA Joan,Goalkeeper,13
Spain (ESP),BAENA Alex,Midfielder,15
Spain (ESP),RODRI Rodrigo,Midfielder,16
Spain (ESP),WILLIAMS Nico,Forward,17
Spain (ESP),PEDRI Pedro,Midfielder,20
Spain (ESP),CUBARSI Pau,Defender,22
Spain (ESP),MUNOZ Victor,Forward,25
Spain (ESP),IGLESIAS Borja,Forward,26
Sweden (SWE),WIDELL ZETTERSTROM,Goalkeeper,1
Sweden (SWE),LAGERBIELKE Gustaf,Defender,2
Sweden (SWE),HIEN Isak,Defender,4
Sweden (SWE),GUDMUNDSSON Gabriel,Defender,5
Sweden (SWE),JOHANSSON Herman,Defender,6
Sweden (SWE),BERGVALL Lucas,Midfielder,7
Sweden (SWE),SVENSSON Daniel,Defender,8
Sweden (SWE),NYGREN Benjamin,Midfielder,10
Sweden (SWE),ELANGA Anthony,Forward,11
Sweden (SWE),JOHANSSON Viktor,Goalkeeper,12
Sweden (SWE),SEMA Ken,Midfielder,13
Sweden (SWE),EKDAL Hjalmar,Defender,14
Sweden (SWE),STARFELT Carl,Defender,15
Sweden (SWE),KARLSTROM Jesper,Midfielder,16
Sweden (SWE),GYOKERES Viktor,Forward,17
Sweden (SWE),AYARI Yasin,Midfielder,18
Sweden (SWE),SVANBERG Mattias,Midfielder,19
Sweden (SWE),SMITH Eric,Defender,20
Sweden (SWE),BERNHARDSSON Alexander,Defender,21
Sweden (SWE),ZENELI Besfort,Midfielder,22
Sweden (SWE),NORDFELDT Kristoffer,Goalkeeper,23
Sweden (SWE),STROUD Elliot,Defender,24
Sweden (SWE),NILSSON Gustaf,Forward,25
Sweden (SWE),ALI Taha,Forward,26
Switzerland (SUI),MUHEIM Miro,Defender,2
Switzerland (SUI),MANZAMBI Johan,Midfielder,9
Switzerland (SUI),MVOGO Yvon,Goalkeeper,12
Switzerland (SUI),COEMERT Eray,Defender,18
Switzerland (SUI),KELLER Marvin,Goalkeeper,21
Switzerland (SUI),AMENDA Aurele,Defender,24
Switzerland (SUI),JAQUEZ Luca,Defender,25
Switzerland (SUI),ITTEN Cedric,Forward,26
Tunisia (TUN),CHAMAKH Mouhib,Goalkeeper,1
Tunisia (TUN),REKIK Omar,Defender,4
Tunisia (TUN),AROUS Adam,Defender,5
Tunisia (TUN),SAAD Elias,Forward,8
Tunisia (TUN),MASTOURI Hazem,Forward,9
Tunisia (TUN),GHARBI Ismael,Midfielder,11
Tunisia (TUN),BEN OUANES,Defender,12
Tunisia (TUN),KHEDIRA Rani,Midfielder,13
Tunisia (TUN),AYARI Khalil,Midfielder,14
Tunisia (TUN),HADJ MAHMOUD,Midfielder,15
Tunisia (TUN),ELLOUMI Rayan,Forward,18
Tunisia (TUN),CHAOUAT Firas,Forward,19
Tunisia (TUN),VALERY Yan,Defender,20
Tunisia (TUN),BEN HMIDA,Defender,21
Tunisia (TUN),BEN HESSEN,Goalkeeper,22
Tunisia (TUN),NEFFATI Moutaz,Defender,23
Tunisia (TUN),CHIKHAOUI Raed,Defender,24
Tunisia (TUN),TOUNEKTI Sebastian,Midfielder,26
Türkiye (TUR),GUL Deniz,Forward,9
Türkiye (TUR),BAYINDIR Altay,Goalkeeper,12
Türkiye (TUR),ELMALI Eren,Defender,13
Türkiye (TUR),BARDAKCI Abdulkerim,Defender,14
Türkiye (TUR),KABAK Ozan,Defender,15
Türkiye (TUR),KADIOGLU Ferdi,Defender,20
Türkiye (TUR),YILMAZ Baris,Forward,21
Türkiye (TUR),CAKIR Ugurcan,Goalkeeper,23
Türkiye (TUR),AYDIN Oguz,Forward,24
Türkiye (TUR),UZUN Can,Forward,26
USA (USA),TURNER Matt,Goalkeeper,1
USA (USA),TRUSTY Auston,Defender,6
USA (USA),ROBINSON Miles,Defender,12
USA (USA),BERHALTER Sebastian,Midfielder,14
USA (USA),ROLDAN Cristian,Midfielder,15
USA (USA),FREEMAN Alex,Defender,16
USA (USA),ARFSTEN Max,Defender,18
USA (USA),McKENZIE Mark,Defender,22
USA (USA),SCALLY Joe,Defender,23
USA (USA),FREESE Matt,Goalkeeper,24
USA (USA),BRADY Chris,Goalkeeper,25
USA (USA),ZENDEJAS Alex,Forward,26
Uruguay (URU),MELE Santiago,Goalkeeper,12
Uruguay (URU),MARTINEZ Emiliano,Midfielder,15
Uruguay (URU),AGUIRRE Rodrigo,Forward,19
Uruguay (URU),ARAUJO Maxi,Midfielder,20
Uruguay (URU),VINAS Federico,Forward,21
Uruguay (URU),PIQUEREZ Joaquin,Midfielder,22
Uruguay (URU),BUENO Santiago,Defender,24
Uruguay (URU),SANABRIA Juan,Midfielder,25
Uruguay (URU),ZALAZAR Rodrigo,Midfielder,26
Uzbekistan (UZB),YUSUPOV Utkir,Goalkeeper,1
Uzbekistan (UZB),KHUSANOV Abdukodir,Defender,2
Uzbekistan (UZB),ALIJONOV Khojiakbar,Defender,3
Uzbekistan (UZB),SAYFIEV Farrukh,Defender,4
Uzbekistan (UZB),ASHURMATOV Rustam,Defender,5
Uzbekistan (UZB),MOZGOVOY Akmal,Midfielder,6
Uzbekistan (UZB),SHUKUROV Otabek,Midfielder,7
Uzbekistan (UZB),ISKANDEROV Jamshid,Midfielder,8
Uzbekistan (UZB),XAMROBEKOV Odiljon,Midfielder,9
Uzbekistan (UZB),JIYANOV Ruslanbek,Midfielder,10
Uzbekistan (UZB),URUNOV Oston,Midfielder,11
Uzbekistan (UZB),NEMATOV Abduvohid,Goalkeeper,12
Uzbekistan (UZB),NASRULLAEV Sherzod,Defender,13
Uzbekistan (UZB),SHOMURODOV Eldor,Forward,14
Uzbekistan (UZB),ESHMURODOV Umar,Defender,15
Uzbekistan (UZB),ERGASHEV Botirali,Goalkeeper,16
Uzbekistan (UZB),KHAMDAMOV Dostonbek,Midfielder,17
Uzbekistan (UZB),ABDULLAEV Abdulla,Defender,18
Uzbekistan (UZB),GANIEV Azizjon,Midfielder,19
Uzbekistan (UZB),AMONOV Azizbek,Forward,20
Uzbekistan (UZB),SERGEEV Igor,Forward,21
Uzbekistan (UZB),FAYZULLAEV Abbosbek,Midfielder,22
Uzbekistan (UZB),ESANOV Sherzod,Midfielder,23
Uzbekistan (UZB),KARIMOV Behruzjon,Defender,24
Uzbekistan (UZB),ULMASALIYEV Avazbek,Defender,25
Uzbekistan (UZB),UROZOV Jakhongir,Defender,26
