country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,BASIC Ivan,Midfielder,13,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,SUNJIC Ivan,Midfielder,14,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,MEMIC Amar,Midfielder,15,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,HADZIAHMETOVIC Amir,Midfielder,16,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,BURNIC Dzenis,Midfielder,17,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,KATIC Nikola,Defender,18,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,ALAJBEGOVIC Kerim,Forward,19,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,BAJRAKTAREVIC Esmir,Forward,20,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,RADELJIC Stjepan,Defender,21,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,ZLOMISLIC Martin,Goalkeeper,22,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,TABAKOVIC Haris,Forward,23,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,MALIC Arjan,Defender,24,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,LUKIC Jovo,Forward,25,,,,False,unmatched
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,MAHMIC Ermin,Midfielder,26,,,,False,unmatched
Brazil (BRA),Brazil,MATHEUS CUNHA,Forward,9,,,,False,unmatched
Brazil (BRA),Brazil,LEO PEREIRA,Defender,15,,,,False,unmatched
Brazil (BRA),Brazil,DOUGLAS SANTOS,Defender,16,,,,False,unmatched
Brazil (BRA),Brazil,LUIZ HENRIQUE,Forward,21,,,,False,unmatched
Brazil (BRA),Brazil,ROGER IBANEZ,Defender,24,,,,False,unmatched
Brazil (BRA),Brazil,IGOR THIAGO,Forward,25,,,,False,unmatched
Brazil (BRA),Brazil,RAYAN Rayan,Forward,26,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,STOPIRA Ianique,Defender,2,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,PICO LOPES,Defender,4,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,MARCIO ROSA,Goalkeeper,12,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,SIDNY LOPES,Defender,13,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,YANNICK SEMEDO,Midfielder,16,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,TELMO ARCANJO,Midfielder,18,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,DAILON LIVRAMENTO,Forward,19,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,NUNO DA,Midfielder,21,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,CJ DOS,Goalkeeper,23,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,WAGNER PINA,Defender,24,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,KELVIN PIRES,Defender,25,,,,False,unmatched
Cabo Verde (CPV),Cabo Verde,HELIO VARELA,Midfielder,26,,,,False,unmatched
Canada (CAN),Canada,JONES Al,Defender,3,,,,False,unmatched
Canada (CAN),Canada,WATERMAN Joel,Defender,5,,,,False,unmatched
Canada (CAN),Canada,GOODMAN Owen,Goalkeeper,18,,,,False,unmatched
Canada (CAN),Canada,SIGUR Niko,Defender,23,,,,False,unmatched
Canada (CAN),Canada,DAVID Promise,Forward,24,,,,False,unmatched
Canada (CAN),Canada,SALIBA Nathan,Midfielder,25,,,,False,unmatched
Canada (CAN),Canada,NELSON Jayden,Forward,26,,,,False,unmatched
Colombia (COL),Colombia,PUERTA Gustavo,Defender,14,,,,False,unmatched
Colombia (COL),Colombia,PORTILLA Juan,Midfielder,15,,,,False,unmatched
Colombia (COL),Colombia,DITTA Willer,Defender,18,,,,False,unmatched
Colombia (COL),Colombia,HERNANDEZ Cucho,Forward,19,,,,False,unmatched
Colombia (COL),Colombia,CAMPAZ Jaminton,Forward,21,,,,False,unmatched
Colombia (COL),Colombia,MONTERO Alvaro,Goalkeeper,24,,,,False,unmatched
Colombia (COL),Colombia,SUAREZ Luis,Forward,25,,,,False,unmatched
Colombia (COL),Colombia,GOMEZ Andres,Forward,26,,,,False,unmatched
Congo DR (COD),Congo DR,WAN-BISSAKA Aaron,Defender,2,,,,False,unmatched
Congo DR (COD),Congo DR,KAPUADI Steve,Defender,3,,,,False,unmatched
Congo DR (COD),Congo DR,TUANZEBE Axel,Defender,4,,,,False,unmatched
Congo DR (COD),Congo DR,MUKAU Ngalayel,Midfielder,6,,,,False,unmatched
Congo DR (COD),Congo DR,MBUKU Nathanael,Midfielder,7,,,,False,unmatched
Congo DR (COD),Congo DR,CIPENGA Brian,Forward,9,,,,False,unmatched
Congo DR (COD),Congo DR,SADIKI Noah,Midfielder,14,,,,False,unmatched
Congo DR (COD),Congo DR,FAYULU Timothy,Goalkeeper,16,,,,False,unmatched
Congo DR (COD),Congo DR,EPOLO Matthieu,Goalkeeper,21,,,,False,unmatched
Congo DR (COD),Congo DR,KAYEMBE Edo,Midfielder,25,,,,False,unmatched
Croatia (CRO),Croatia,MORO Nikola,Midfielder,7,,,,False,unmatched
Croatia (CRO),Croatia,PANDUR Ivor,Goalkeeper,12,,,,False,unmatched
Croatia (CRO),Croatia,SUCIC Petar,Midfielder,17,,,,False,unmatched
Croatia (CRO),Croatia,JAKIC Kristijan,Defender,18,,,,False,unmatched
Croatia (CRO),Croatia,FRUK Toni,Midfielder,19,,,,False,unmatched
Croatia (CRO),Croatia,MATANOVIC Igor,Forward,20,,,,False,unmatched
Croatia (CRO),Croatia,VUSKOVIC Luka,Defender,22,,,,False,unmatched
Croatia (CRO),Croatia,KOTARSKI Dominik,Goalkeeper,23,,,,False,unmatched
Croatia (CRO),Croatia,PASALIC Marco,Forward,24,,,,False,unmatched
Croatia (CRO),Croatia,ERLIC Martin,Defender,25,,,,False,unmatched
Croatia (CRO),Croatia,MUSA Petar,Forward,26,,,,False,unmatched
Curaçao (CUW),Curaçao,ROOM Eloy,Goalkeeper,1,,,,False,unmatched
Curaçao (CUW),Curaçao,SAMBO Shurandy,Defender,2,,,,False,unmatched
Curaçao (CUW),Curaçao,GAARI Jurien,Defender,3,,,,False,unmatched
Curaçao (CUW),Curaçao,VAN EIJMA,Defender,4,,,,False,unmatched
Curaçao (CUW),Curaçao,FLORANUS Sherel,Defender,5,,,,False,unmatched
Curaçao (CUW),Curaçao,ROEMERATOE Godfried,Midfielder,6,,,,False,unmatched
Curaçao (CUW),Curaçao,BACUNA Juninho,Midfielder,7,,,,False,unmatched
Curaçao (CUW),Curaçao,COMENENCIA Livano,Midfielder,8,,,,False,unmatched
Curaçao (CUW),Curaçao,LOCADIA Juergen,Forward,9,,,,False,unmatched
Curaçao (CUW),Curaçao,BACUNA Leandro,Midfielder,10,,,,False,unmatched
Curaçao (CUW),Curaçao,ANTONISSE Jeremy,Forward,11,,,,False,unmatched
Curaçao (CUW),Curaçao,HANSEN Sontje,Forward,12,,,,False,unmatched
Curaçao (CUW),Curaçao,NOSLIN Tyrese,Forward,13,,,,False,unmatched
Curaçao (CUW),Curaçao,GORRE Kenji,Forward,14,,,,False,unmatched
Curaçao (CUW),Curaçao,MARTHA Arjany,Midfielder,15,,,,False,unmatched
Curaçao (CUW),Curaçao,MARGARITHA Jearl,Forward,16,,,,False,unmatched
Curaçao (CUW),Curaçao,KUWAS Brandley,Forward,17,,,,False,unmatched
Curaçao (CUW),Curaçao,OBISPO Armando,Defender,18,,,,False,unmatched
Curaçao (CUW),Curaçao,KASTANEER Gervane,Forward,19,,,,False,unmatched
Curaçao (CUW),Curaçao,BRENET Joshua,Defender,20,,,,False,unmatched
Curaçao (CUW),Curaçao,CHONG Tahith,Midfielder,21,,,,False,unmatched
Curaçao (CUW),Curaçao,FELIDA Kevin,Midfielder,22,,,,False,unmatched
Curaçao (CUW),Curaçao,BAZOER Riechedly,Defender,23,,,,False,unmatched
Curaçao (CUW),Curaçao,FONVILLE Deveron,Defender,24,,,,False,unmatched
Curaçao (CUW),Curaçao,BODAK Tyrick,Goalkeeper,25,,,,False,unmatched
Curaçao (CUW),Curaçao,DOORNBUSCH Trevor,Goalkeeper,26,,,,False,unmatched
Czechia (CZE),Czechia,ZIMA David,Defender,2,,,,False,unmatched
Czechia (CZE),Czechia,CHALOUPEK Stepan,Defender,6,,,,False,unmatched
Czechia (CZE),Czechia,ZELENY Jaroslav,Defender,20,,,,False,unmatched
Czechia (CZE),Czechia,HORNICEK Lukas,Goalkeeper,23,,,,False,unmatched
Czechia (CZE),Czechia,SOJKA Alexandr,Midfielder,24,,,,False,unmatched
Czechia (CZE),Czechia,SOCHUREK Hugo,Midfielder,25,,,,False,unmatched
Czechia (CZE),Czechia,VISINSKY Denis,Forward,26,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,BONNY Ange-Yoan,Forward,9,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,DIOMANDE Yan,Forward,11,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,WAHI Elye,Forward,12,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,OPERI Christopher,Defender,13,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,DIALLO Amad,Forward,15,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,KONE Mohamed,Goalkeeper,16,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,DOUE Guela,Defender,17,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,AGBADOU Emmanuel,Defender,20,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,GUESSAND Evann,Forward,22,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,LAFONT Alban,Goalkeeper,23,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,TOURE Bazoumana,Forward,24,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,GUIAGON Parfait,Midfielder,25,,,,False,unmatched
Côte D'Ivoire (CIV),Côte D'Ivoire,OULAI Christ,Midfielder,26,,,,False,unmatched
Ecuador (ECU),Ecuador,ORDONEZ Joel,Defender,4,,,,False,unmatched
