player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
6383,Thomas Teye Partey,Ghana,0.0,160,14,6,135,6,6,5,1,16,0.0,3,3,0,3,4,0.0,0.0,181,40,0.0,2,0.0,0.0,0.0
6393,Iñaki Williams Arthuer,Ghana,0.0,91,11,5,40,2,5,4,1,12,0.0,4,3,0,0,4,0.0,0.0,44,32,0.0,2,0.0,0.0,1.0
6399,Gareth Frank Bale,Wales,0.0,85,5,2,44,2,4,3,3,9,0.0,2,5,0,1,5,0.0,0.0,55,17,0.0,2,0.0,0.0,0.0
6583,Carlos Soler Barragán,Spain,0.0,80,5,0,69,0,1,2,0,1,0.0,0,2,0,0,0,0.0,0.0,84,9,0.0,5,0.0,0.0,0.0
6687,Saša Lukić,Serbia,0.0,142,15,2,134,6,2,1,1,11,0.0,10,1,0,2,2,0.0,0.0,162,43,1.0,1,0.0,0.0,1.0
6704,Theo Bernard François Hernández,France,0.0,254,24,11,255,8,6,6,6,25,0.0,6,14,0,7,6,0.0,0.0,332,69,3.0,5,0.0,0.0,0.0
6720,Pablo Sarabia García,Spain,0.0,3,1,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5,0,0.0,2,0.0,0.0,0.0
6748,Ferrán Torres García,Spain,0.0,135,8,1,102,0,8,10,2,6,0.0,1,5,0,0,9,0.0,0.0,86,30,0.0,4,0.0,0.0,0.0
6765,Rodrigo Hernández Cascante,Spain,0.0,595,20,6,549,12,1,0,1,9,0.0,6,1,0,4,2,0.0,0.0,679,19,0.0,1,0.0,0.0,0.0
6773,Federico Santiago Valverde Dipetta,Uruguay,1.0,163,14,9,127,3,2,3,1,9,0.0,6,4,0,5,1,0.0,0.0,186,40,0.0,7,0.0,0.0,0.0
6785,Yassine Bounou,Morocco,0.0,102,25,0,107,0,0,0,0,0,0.0,0,1,80,0,0,0.0,0.0,210,1,0.0,0,0.0,0.0,0.0
6806,Shaquell Moore,United States,0.0,17,1,0,15,3,0,0,0,2,0.0,3,0,0,0,0,0.0,0.0,21,11,0.0,0,0.0,0.0,0.0
6840,Marcos Llorente Moreno,Spain,0.0,82,10,0,79,0,1,0,3,3,0.0,1,1,0,1,2,0.0,0.0,104,16,0.0,1,0.0,0.0,0.0
6892,Pau Francisco Torres,Spain,0.0,178,5,1,169,0,0,0,0,1,0.0,1,0,0,2,0,0.0,0.0,190,2,0.0,0,0.0,0.0,0.0
6901,Nemanja Maksimović,Serbia,0.0,43,5,8,41,4,2,0,3,7,0.0,0,1,0,2,1,0.0,0.0,57,16,0.0,0,0.0,0.0,0.0
6909,Damián Emiliano Martínez,Argentina,0.0,85,30,0,99,1,0,0,0,0,0.0,0,1,74,0,0,0.0,0.0,186,0,0.0,0,0.0,0.0,1.0
6945,Alex Sandro Lobo Silva,Brazil,0.0,127,14,5,131,8,0,2,0,10,0.0,3,2,0,4,1,0.0,0.0,169,21,0.0,1,0.0,0.0,0.0
6983,Remo Freuler,Switzerland,1.0,136,17,4,113,8,4,4,2,10,1.0,7,2,0,6,6,0.0,0.0,149,60,0.0,3,0.0,0.0,0.0
6989,Timothy Castagne,Belgium,0.0,175,7,5,148,8,0,2,2,9,0.0,3,1,0,1,5,0.0,0.0,201,31,0.0,0,0.0,0.0,0.0
6994,Marten de Roon,Netherlands,0.0,103,3,4,77,7,1,0,5,11,1.0,3,0,0,1,0,0.0,0.0,122,50,0.0,0,0.0,0.0,0.0
7005,João Pedro Cavaco Cancelo,Portugal,0.0,221,25,9,226,11,2,12,1,10,0.0,2,4,0,3,6,0.0,0.0,269,20,0.0,2,1.0,1.0,0.0
7006,Alejandro Darío Gómez,Argentina,1.0,68,5,0,64,1,1,3,1,3,0.0,1,6,0,2,1,0.0,0.0,58,11,0.0,2,0.0,0.0,0.0
7097,Christian Nørgaard,Denmark,0.0,13,0,0,9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,15,0,0.0,0,0.0,0.0,0.0
7104,Mathías Olivera Miramontes,Uruguay,0.0,90,16,12,82,14,3,2,7,14,0.0,2,4,0,4,5,0.0,0.0,133,45,0.0,2,0.0,0.0,1.0
7117,Filip Đuričić,Serbia,0.0,9,0,0,3,0,1,0,0,2,0.0,0,1,0,0,0,0.0,0.0,6,4,0.0,0,1.0,1.0,0.0
7145,Darko Lazović,Serbia,1.0,10,1,0,7,0,0,0,1,0,0.0,0,1,0,0,0,0.0,0.0,11,1,0.0,1,0.0,0.0,0.0
7153,Jordan Veretout,France,1.0,30,2,1,30,1,2,0,0,3,0.0,2,0,0,0,1,0.0,0.0,35,9,0.0,0,0.0,0.0,0.0
7161,Germán Alejandro Pezzella,Argentina,0.0,42,2,0,33,2,0,0,0,6,0.0,2,2,0,0,0,0.0,0.0,49,2,0.0,1,0.0,0.0,0.0
7345,Mattéo Guendouzi Olié,France,1.0,30,5,1,27,0,1,1,0,0,0.0,0,1,0,0,0,0.0,0.0,32,2,0.0,0,0.0,0.0,0.0
