match_id,match_date,kick_off,year,home_team,away_team,home_score,away_score,competition_stage
3857287,2022-11-24,13:00:00.000,2022,Uruguay,South Korea,0,0,Group Stage
3857298,2022-11-24,16:00:00.000,2022,Portugal,Ghana,3,2,Group Stage
3857258,2022-11-24,19:00:00.000,2022,Brazil,Serbia,2,0,Group Stage
3857273,2022-11-25,10:00:00.000,2022,Wales,Iran,0,2,Group Stage
3857301,2022-11-25,13:00:00.000,2022,Qatar,Senegal,1,3,Group Stage
3857274,2022-11-25,16:00:00.000,2022,Netherlands,Ecuador,1,1,Group Stage
3857272,2022-11-25,19:00:00.000,2022,England,United States,0,0,Group Stage
3857288,2022-11-26,10:00:00.000,2022,Tunisia,Australia,0,1,Group Stage
3857297,2022-11-26,13:00:00.000,2022,Poland,Saudi Arabia,2,0,Group Stage
3857266,2022-11-26,16:00:00.000,2022,France,Denmark,2,1,Group Stage
3857289,2022-11-26,19:00:00.000,2022,Argentina,Mexico,2,0,Group Stage
3857295,2022-11-27,10:00:00.000,2022,Japan,Costa Rica,0,1,Group Stage
3857283,2022-11-27,13:00:00.000,2022,Belgium,Morocco,0,2,Group Stage
3857281,2022-11-27,16:00:00.000,2022,Croatia,Canada,4,1,Group Stage
3857263,2022-11-27,19:00:00.000,2022,Spain,Germany,1,1,Group Stage
3857259,2022-11-28,10:00:00.000,2022,Cameroon,Serbia,3,3,Group Stage
3857299,2022-11-28,13:00:00.000,2022,South Korea,Ghana,2,3,Group Stage
3857269,2022-11-28,16:00:00.000,2022,Brazil,Switzerland,1,0,Group Stage
3857270,2022-11-28,19:00:00.000,2022,Portugal,Uruguay,2,0,Group Stage
3857294,2022-11-29,15:00:00.000,2022,Netherlands,Qatar,2,0,Group Stage
3857267,2022-11-29,15:00:00.000,2022,Ecuador,Senegal,1,2,Group Stage
3857278,2022-11-29,19:00:00.000,2022,Iran,United States,0,1,Group Stage
3857261,2022-11-29,19:00:00.000,2022,Wales,England,0,3,Group Stage
3857275,2022-11-30,15:00:00.000,2022,Tunisia,France,1,0,Group Stage
3857257,2022-11-30,15:00:00.000,2022,Australia,Denmark,1,0,Group Stage
3857260,2022-11-30,19:00:00.000,2022,Saudi Arabia,Mexico,1,2,Group Stage
3857264,2022-11-30,19:00:00.000,2022,Poland,Argentina,0,2,Group Stage
3857276,2022-12-01,15:00:00.000,2022,Canada,Morocco,1,2,Group Stage
3857296,2022-12-01,15:00:00.000,2022,Croatia,Belgium,0,0,Group Stage
3857255,2022-12-01,19:00:00.000,2022,Japan,Spain,2,1,Group Stage
3857292,2022-12-01,19:00:00.000,2022,Costa Rica,Germany,2,4,Group Stage
3857293,2022-12-02,15:00:00.000,2022,Ghana,Uruguay,0,2,Group Stage
3857262,2022-12-02,15:00:00.000,2022,South Korea,Portugal,2,1,Group Stage
3857256,2022-12-02,19:00:00.000,2022,Serbia,Switzerland,2,3,Group Stage
